system_id,difficulty,instances,valid,success_rate,mean_score,mean_solve_ms,p50_solve_ms,p95_solve_ms,mean_verify_us,total_cost_usd,mean_cost_per_instance,cost_per_valid_solution,valid_solutions_per_dollar,valid_solutions_per_second,mean_attempts,tokens_in,tokens_out
random,1,200,11,0.055,0.055,4.23,4.34,5.2,0.12,0.0,0.0,0.0,0.0,12.9996,1918.2,0,0
random,2,200,0,0.0,0.0,6.06,6.0,6.95,0.0,0.0,0.0,inf,0.0,0.0,2000.0,0,0
random,3,200,0,0.0,0.0,7.63,7.59,8.44,0.0,0.0,0.0,inf,0.0,0.0,2000.0,0,0
random,4,200,0,0.0,0.0,8.98,8.95,9.59,0.0,0.0,0.0,inf,0.0,0.0,2000.0,0,0
random,5,200,0,0.0,0.0,10.33,10.3,11.26,0.0,0.0,0.0,inf,0.0,0.0,2000.0,0,0
z3,1,200,200,1.0,1.0,55.72,6.03,283.22,5.45,0.0,0.0,0.0,0.0,17.9473,1.0,0,0
z3,2,200,199,0.995,0.995,296.84,21.74,1777.17,7.87,0.0,0.0,0.0,0.0,3.3519,1.0,0,0
z3,3,200,191,0.955,0.955,543.1,57.53,3912.93,10.01,0.0,0.0,0.0,0.0,1.7584,1.0,0,0
z3,4,200,183,0.915,0.915,913.99,178.54,5015.16,12.03,0.0,0.0,0.0,0.0,1.0011,1.0,0,0
z3,5,200,177,0.885,0.885,1089.53,285.1,5016.21,12.4,0.0,0.0,0.0,0.0,0.8123,1.0,0,0
