system_id,difficulty,instances,valid,success_rate,mean_score,mean_solve_ms,p50_solve_ms,p95_solve_ms,mean_verify_us,total_cost_usd,mean_cost_per_instance,cost_per_valid_solution,valid_solutions_per_dollar,valid_solutions_per_second,mean_attempts,tokens_in,tokens_out
synth-brute,1,200,200,1.0,1.0,24.82,0.21,152.71,58.2,0.0,0.0,0.0,0.0,40.2945,0.0,0,0
synth-brute,2,200,131,0.655,0.655,234.07,49.66,791.37,41.05,0.0,0.0,0.0,0.0,2.7983,0.0,0,0
synth-brute,3,200,95,0.475,0.475,222.75,166.5,522.08,25.98,0.0,0.0,0.0,0.0,2.1324,0.0,0,0
synth-brute,4,200,108,0.54,0.54,217.55,8.28,578.29,26.57,0.0,0.0,0.0,0.0,2.4822,0.0,0,0
synth-brute,5,200,95,0.475,0.475,231.92,233.31,490.53,25.49,0.0,0.0,0.0,0.0,2.0481,0.0,0,0
synth-random,1,200,162,0.81,0.81,0.82,0.51,2.64,54.84,0.0,0.0,0.0,0.0,993.0829,188.19,0,0
synth-random,2,200,67,0.335,0.335,2.46,2.29,5.58,27.01,0.0,0.0,0.0,0.0,135.9731,367.67,0,0
synth-random,3,200,32,0.16,0.16,2.97,3.12,4.34,17.66,0.0,0.0,0.0,0.0,53.8365,429.18,0,0
synth-random,4,200,48,0.24,0.24,3.36,3.58,5.78,16.2,0.0,0.0,0.0,0.0,71.3558,398.46,0,0
synth-random,5,200,38,0.19,0.19,3.81,4.11,5.22,18.31,0.0,0.0,0.0,0.0,49.8064,427.92,0,0
